ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GOBP_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a transforming growth factor beta stimulus. [GOC:mah]",34/926,214/12583,0.1588785046728972,2.1589289679255566,4.819293164069063,1.565138760303228e-5,7.10244822921473e-4,5.590920121694384e-4,RGCC/PPARG/CD109/CLDN5/THBS1/ZEB2/SPRY2/ZFYVE9/SMAD3/ZFP36L1/ADAM9/HIPK2/SMAD7/ZMIZ1/SKI/ID1/SKIL/SMURF1/ITGB8/EP300/SPRED2/RUNX3/ENG/SRC/NR3C1/PXN/MAPK7/ITGB1/TGFB1/LIMS1/PMEPA1/FURIN/SPI1/ZBTB7A,34
GOBP_REGULATION_OF_FIBROBLAST_PROLIFERATION,"Any process that modulates the frequency, rate or extent of multiplication or reproduction of fibroblast cells. [GOC:jid]",17/926,73/12583,0.2328767123287671,3.1644575283292404,5.227195931583392,1.6294271516875877e-5,7.335029266036844e-4,5.774003750990628e-4,FTH1/FOSL2/CDKN1A/CTNNB1/FN1/EREG/SPHK1/ZMIZ1/PDGFA/SKI/EMD/S100A6/IFI30/TGIF1/MYC/GAS6/TGFB1,17
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving phosphorus or compounds containing phosphorus. [GOC:ai]",62/926,490/12583,0.12653061224489795,1.7193679199541587,4.577928609222735,1.6831939872172564e-5,7.462113644540271e-4,5.874042299107772e-4,HIF1A/FAM20C/AREG/PID1/VEGFA/CDKN1A/PLAUR/PIK3R5/THBS1/FN1/SNX9/PRKAG2/FGFR1/FAM20A/PLEK/SPRY2/GPRC5A/DDIT4/OSM/TRIB1/EREG/TAB2/SPHK1/RAP2B/PDGFA/SERTAD1/IER3/RIPK2/ACSL3/PPP2CA/P2RY1/EP300/KCTD20/ANKLE2/FBP1/NEDD9/NTSR1/MIDN/CEMIP/FLT1/RAC1/TSPYL2/SYAP1/ENG/SAMSN1/DHX34/MAP2K1/SRC/S1PR2/LAT/GAS6/TGFB1/PTPN1/PRXL2C/FLOT1/RPTOR/ZBTB7A/HLA-DRB1/BRAF/ERN1/CHP1/ZC3H12A,62
GOBP_REGULATION_OF_WOUND_HEALING,"Any process that modulates the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury. [GOC:BHF, GOC:dph]",19/926,88/12583,0.2159090909090909,2.933892106813273,5.130886198063875,1.6841806164148112e-5,7.462113644540271e-4,5.874042299107772e-4,CD109/HBEGF/THBD/TNFRSF12A/SERPINE1/PLAUR/THBS1/TFPI/CLEC7A/CD9/SMAD3/PDGFA/VIL1/RREB1/UBASH3B/ITGB1/ANXA2/PLAU/ANXA1,19
GOBP_ENDOTHELIAL_CELL_APOPTOTIC_PROCESS,"Any apoptotic process in an endothelial cell. An endothelial cell comprises the outermost layer or lining of anatomical structures and can be squamous or cuboidal. [CL:0000115, GOC:BHF, GOC:mah, GOC:mtg_apoptosis]",13/926,46/12583,0.2826086956521739,3.8402432153253825,5.4390690152520405,1.766351434295056e-5,7.765046500608032e-4,6.112505621310523e-4,RGCC/CCL2/SERPINE1/IL10/THBS1/FOXO3/ID1/HLA-G/MAPK7/GAS6/TGFB1/PTPN1/BRAF,13
GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,"Any process that modulates the frequency, rate, or extent of leukocyte migration. [GOC:add]",30/926,180/12583,0.16666666666666666,2.2647588192944563,4.8168989169682215,1.913035726533557e-5,8.344691498608004e-4,6.568791788864308e-4,CCL2/CSF1/SERPINE1/NINJ1/VEGFA/HMOX1/THBS1/PIK3R1/LGMN/LGALS3/C5AR1/CD9/IL1R1/CXCL8/CD99/NEDD9/RABGEF1/P2RX4/RAC1/MPP1/CCR1/GAS6/IL6R/TGFB1/STK10/ABL2/ADAM8/SPI1/CD69/ANXA1,30
GOBP_NEGATIVE_REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY,"Any process that stops, prevents or reduces the frequency, rate or extent of apoptotic signaling pathway. [GOC:mtg_apoptosis]",31/926,189/12583,0.164021164021164,2.2288102666072427,4.797300496080748,1.9366831526280456e-5,8.382858538336933e-4,6.598836199399852e-4,LMNA/HIF1A/SERPINE1/PLAUR/IL10/HMOX1/CTNNB1/THBS1/LGALS3/PPIF/IFI6/CD44/IL1B/IER3/IVNS1ABP/ZNF385A/SH3RF1/MCL1/BID/ITGAV/ATF4/SNAI1/TPT1/YBX3/MAP2K1/SRC/OPA1/MAPK7/PTPN1/CCAR2/CLU,31
GOBP_MIRNA_METABOLIC_PROCESS,"The chemical reactions and pathways involving miRNA, microRNA, a class of single-stranded RNA molecules of about 21-23 nucleotides in length, which regulates gene expression. [PMID:17993620]",19/926,89/12583,0.21348314606741572,2.9009270269614387,5.072203080570815,1.9960933556944753e-5,8.574059017170087e-4,6.749345794103941e-4,PPARG/HIF1A/VEGFA/IL10/FOSL1/FOXO3/PPARD/NCOR2/SMAD3/TUT4/MALAT1/AGO2/MYC/NR3C1/ELOC/TGFB1/NEAT1/SPI1/ZC3H12A,19
GOBP_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE,"The appearance of a cytokine due to biosynthesis or secretion following a cellular stimulus contributing to an immune response, resulting in an increase in its intracellular or extracellular levels. [GO_REF:0000022, GOC:add, ISBN:0781735149]",22/926,113/12583,0.19469026548672566,2.6455589747510464,4.952293574863769,2.134885832276723e-5,9.100759528955394e-4,7.163955009745176e-4,IL10/NLRP3/SLC7A5/CLEC7A/LITAF/IL1R1/NR4A3/LAPTM5/SMAD7/UBE2J1/IL1B/MAPKAPK2/RIPK2/DENND1B/ARID5A/CD226/RABGEF1/FFAR3/HLA-G/MALT1/TGFB1/BCL6,22
GOBP_MUSCLE_TISSUE_DEVELOPMENT,"The progression of muscle tissue over time, from its initial formation to its mature state. Muscle tissue is a contractile tissue made up of actin and myosin fibers. [GOC:dph]",39/926,264/12583,0.14772727272727273,2.00739986255645,4.662330525615222,2.1784107982433613e-5,9.216479369710823e-4,7.255047597157155e-4,JARID2/LMNA/FLNB/MSC/VEGFA/FOSL2/CTNNB1/ATF3/FGFR1/EPHB1/PPIF/SMAD3/SMAD7/NR4A1/SKI/SKIL/GPCPD1/ID2/KDM6B/RUNX1/MCUB/EMD/EP300/PLEC/KLF5/MAFF/ENG/CHD7/YBX3/EGR2/MYC/RBPJ/ITGB1/HIVEP3/TGFB1/FLOT1/ALPK2/ASB2/PDLIM5,39
