ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
HALLMARK_TNFA_SIGNALING_VIA_NFKB,Genes regulated by NF-kB in response to TNF [GeneID=7124].,91/926,192/12583,0.4739583333333333,6.4404078923686106,21.409958888643267,2.9517183084720074e-52,1.6609318921771984e-48,1.3074558570579165e-48,PHLDA1/CCL2/G0S2/MAP3K8/PLPP3/HBEGF/ATP2B1/CSF1/MSC/CXCL2/CEBPB/GPR183/BHLHE40/SGK1/SERPINE1/AREG/IFNGR2/BCL2A1/NINJ1/VEGFA/FOSL2/CDKN1A/PLAUR/FOSL1/NFIL3/ATF3/MARCKS/CXCL3/SDC4/GEM/PLEK/LITAF/KLF10/SLC2A3/ABCA1/SAT1/SMAD3/TRIB1/PHLDA2/DUSP4/CD44/NR4A3/SPHK1/ICOSLG/EIF1/IL1B/NR4A1/DENND5A/PDE4B/IER3/ETS2/JAG1/RIPK2/EHD1/ID2/LAMB3/SPSB1/BTG1/DUSP5/KDM6B/TUBB2A/MCL1/REL/OLR1/DUSP2/MAFF/CEBPD/GADD45B/CD83/PFKFB3/B4GALT5/NFAT5/EGR3/EGR2/B4GALT1/TGIF1/MYC/MXD1/BTG3/PTPRE/ZFP36/SLC16A6/NAMPT/BCL6/PMEPA1/SOCS3/CD69/PDLIM5/PLAU/ZC3H12A/DRAM1,91
HALLMARK_INFLAMMATORY_RESPONSE,Genes defining inflammatory response.,51/926,172/12583,0.29651162790697677,4.0291639459540916,11.27380581976081,1.364148542085083e-18,3.838031923156381e-15,3.0212300342600157e-15,CCL2/HBEGF/HIF1A/ATP2B1/CSF1/MET/GPR183/SERPINE1/IFNGR2/CDKN1A/PLAUR/PIK3R5/IL10/IRAK2/NLRP3/GNA15/AHR/TIMP1/EMP3/C5AR1/OSM/ABCA1/IL1R1/EREG/CXCL8/SPHK1/ICOSLG/ITGA5/IL1B/MARCO/GPR132/PDE4B/RIPK2/ADM/ITGB8/CD82/OLR1/P2RX4/ADORA2B/BEST1/RGS1/MYC/MXD1/LY6E/PTPRE/SLC1A2/NAMPT/PTGER2/ACVR1B/CD69/ADRM1,51
HALLMARK_TGF_BETA_SIGNALING,Genes up-regulated in response to TGFB1 [GeneID=7040].,23/926,52/12583,0.4423076923076923,6.01032148197375,10.203785845321706,2.988264415674995e-13,5.604987955667733e-10,4.4121461968983795e-10,BCAR3/SERPINE1/IFNGR2/CTNNB1/THBS1/NCOR2/KLF10/SMAD3/HIPK2/SMAD7/SKI/ID1/SKIL/SMURF1/ID2/RAB31/ENG/UBE2D3/TGIF1/CDK9/TGFB1/PMEPA1/FURIN,23
GOBP_BLOOD_VESSEL_MORPHOGENESIS,The process in which the anatomical structures of blood vessels are generated and organized. The blood vessel is the vasculature carrying blood. [GOC:jid],75/926,438/12583,0.17123287671232876,2.3268070061244415,7.965865831251554,2.9998635478323774e-12,4.220058045913197e-9,3.321954160336486e-9,RGCC/CCL2/PPARG/HIF1A/TNFRSF12A/SERPINE1/NINJ1/VEGFA/IL10/HMOX1/CLDN5/CTNNB1/EHD4/THBS1/FN1/FGFR1/EPHB1/SPRY2/GNA13/C5AR1/SAT1/ZFP36L1/EREG/CXCL8/NRARP/MECP2/SPHK1/ITGAX/HIPK2/GLUL/SMAD7/ZMIZ1/ITGA5/IL1B/NR4A1/PDGFA/ID1/STARD13/JAG1/BTG1/RUNX1/ADM/ITGB8/GPNMB/NRP2/EPAS1/KLF5/ITGAV/ELK3/FLT1/ANPEP/HLA-G/ENG/CHD7/FMNL3/RASA1/ADGRG1/HOXA5/SHB/AGO2/EGR3/B4GALT1/VAV3/EIF2AK3/RBPJ/MAPK7/ITGB1/TGFB1/ANXA2/ADAM8/SPI1/PRDM1/NUS1/ZC3H12A/ANXA1,75
GOBP_RESPONSE_TO_WOUNDING,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to the organism. [GOC:go_curators]",71/926,415/12583,0.1710843373493976,2.324788571131177,7.734779832523404,1.2273052848582382e-11,1.3812093675794614e-8,1.087263292354414e-8,PPARG/CD109/HBEGF/THBD/HIF1A/TNFRSF12A/SERPINE1/S100A10/VEGFA/CDKN1A/PLAUR/IL10/HMOX1/THBS1/FN1/FOSL1/SDC4/PPARD/TIMP1/TFPI/PLEK/CLEC7A/GNA13/GNA12/CD9/SMAD3/ZFP36L1/EREG/CD44/SLC7A11/ITGA5/RAP2B/PDGFA/VIL1/P2RY1/PLEC/ABHD2/STK24/ITGAV/RREB1/ELK3/P2RX4/RAC1/DPYSL3/UBASH3B/SLC1A3/ENG/ADGRG1/CHMP4B/B4GALT1/CCR1/MAP2K1/CLIC1/SRC/NR3C1/VAV3/ITGB1/EXTL3/GAS6/ZFP36/IL6R/TGFB1/SLC1A2/ARL8B/ANXA2/CD151/TUBB1/DDIT3/BRAF/PLAU/ANXA1,71
GOBP_EPITHELIAL_CELL_DIFFERENTIATION,"The process in which a relatively unspecialized cell acquires specialized features of an epithelial cell, any of the cells making up an epithelium. [GOC:ecd, PMID:11839751]",74/926,448/12583,0.16517857142857142,2.244537758407899,7.5598665554780275,2.5200161568260457e-11,2.3633551524100267e-8,1.8603908750743863e-8,PPARG/CD109/FLNB/HIF1A/MET/MAFB/CEBPB/FAM20C/SERPINE1/VEGFA/FOSL2/CDKN1A/CD63/CLDN5/CTNNB1/RAPGEF1/ZEB2/FGFR1/VIM/LGALS3/SPRY2/MTSS1/SMAD3/ZFP36L1/EREG/ADAM9/IL1B/TAGLN2/RAP2B/ID1/VIL1/SKIL/JAG1/RHEB/ID2/BTG1/KDM6B/TGM3/BASP1/PLEC/EZR/EPAS1/KLF5/FNDC3A/SLC4A7/KDM5B/RAC1/SPRED2/MAFF/DHRS9/RARG/ATF4/CAMSAP3/HOXA5/UPK2/WHRN/B4GALT1/MAP2K1/SRC/S1PR2/RBPJ/EXTL3/VDR/ZFP36/TGFB1/MAFG/BFSP1/GSDME/RPTOR/PRDM1/RAB1A/TMEM38B/RILPL2/ANXA1,74
HALLMARK_IL2_STAT5_SIGNALING,Genes up-regulated by STAT5 in response to IL2 stimulation.,41/926,180/12583,0.22777777777777777,3.0951703863690905,7.979564017268599,4.5346806955844765e-11,3.6452354677219783e-8,2.869464115341275e-8,PHLDA1/MAP3K8/EMP1/CSF1/BHLHE40/DHRS3/TNFRSF21/GABARAPL1/IL10/NCS1/PNP/SNX9/NFIL3/AHR/PLIN2/SLC2A3/CD44/ODC1/HIPK2/ALCAM/DENND5A/MAPKAPK2/ARL4A/PLEC/PRNP/CD86/SLC39A8/ITGAV/P2RX4/SPRED2/GSTO1/MAFF/GADD45B/CD83/MYC/MXD1/IL3RA/PTGER2/IFITM3/FURIN/GPX4,41
GOBP_POSITIVE_REGULATION_OF_LOCOMOTION,"Any process that activates or increases the frequency, rate or extent of locomotion of a cell or organism. [GOC:go_curators]",72/926,438/12583,0.1643835616438356,2.2337347258794638,7.407079742831849,5.97405201717435e-11,3.9325180556192744e-8,3.0956078265591476e-8,CCL2/PLPP3/HBEGF/HIF1A/CSF1/MET/DOCK4/SERPINE1/VEGFA/ARF6/HMOX1/THBS1/FN1/FGFR1/PIK3R1/LGMN/LGALS3/SPRY2/CLEC7A/SEMA3F/C5AR1/CXCR4/CXCL16/SMAD3/IL1R1/SPAG9/CXCL8/NR4A3/ADAM9/SPHK1/ITGAX/CD99/ITGA5/IL1B/PDGFA/SSH1/VIL1/GPNMB/NRP2/MALAT1/SEMA6B/NEDD9/CEMIP/ITGAV/RREB1/P2RX4/FLT1/RAC1/SNAI1/AGO2/CCR1/MAP2K1/SRC/ARHGAP5/IQSEC1/ITGB1/GAS6/IL6R/TGFB1/ABL2/CCL4L2/MAP4K4/BCL6/ADAM8/SPI1/CD151/ACVR1B/NUS1/PLAU/ZC3H12A/ANXA1/CCL3L3,72
HALLMARK_HYPOXIA,Genes up-regulated in response to low oxygen levels (hypoxia).,38/926,160/12583,0.2375,3.2272813174946,7.991140352160668,6.28979251831766e-11,3.9325180556192744e-8,3.0956078265591476e-8,SDC2/BHLHE40/SERPINE1/HS3ST1/VEGFA/FOSL2/CDKN1A/PLAUR/HMOX1/NFIL3/ATF3/FOXO3/SDC4/NOCT/PLIN2/GAPDH/DDIT4/CXCR4/SLC2A3/NEDD4L/SLC6A6/IER3/BTG1/ADM/FBP1/MAFF/ADORA2B/PFKFB3/NDST1/TKTL1/NR3C1/RBPJ/IDS/ZFP36/KDM3A/ANXA2/AK4/DDIT3,38
GOBP_POSITIVE_REGULATION_OF_CELL_DEVELOPMENT,"Any process that increases the rate, frequency or extent of the progression of the cell over time, from its formation to the mature structure. Cell development does not include the steps involved in committing a cell to a specific fate. [GOC:BHF, GOC:dph, GOC:tb]",61/926,344/12583,0.17732558139534885,2.4095980461098,7.471167591335895,8.097891997055811e-11,4.556683826743305e-8,3.5869399498537745e-8,HIF1A/CSF1/TNFRSF12A/VEGFA/IL10/CLDN5/CTNNB1/FN1/PNP/NLRP3/FOXO3/SLC7A5/ZEB2/LGALS3/CLEC7A/KLF10/CXCR4/TRIB1/ZFP36L1/MECP2/SMAD7/ZMIZ1/IL1B/SKIL/SMURF1/RIPK2/RHEB/ID2/RUNX1/EP300/NEDD9/TM4SF19/CD86/RUNX3/HLA-G/CD83/IL1RL2/SHB/BIN1/MALT1/EGR3/EGR2/LGALS1/CCR1/PHF10/MAP2K1/S1PR2/OPA1/ZBTB46/ITGB1/GAS6/TGFB1/BCL6/RPTOR/ADAM8/SPI1/IL4I1/HLA-DRB1/CUX2/BRAF/ANXA1,61
GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION,"Any process that modulates the frequency, rate or extent of leukocyte differentiation. [GOC:add, GOC:TermGenie]",54/926,286/12583,0.1888111888111888,2.565670830249664,7.548676707946991,9.09938331080679e-11,4.6547481718099826e-8,3.664134447069376e-8,CSF1/MAFB/CEBPB/IL10/CTNNB1/PNP/NLRP3/FOXO3/PIK3R1/LGALS3/KLF10/TRIB1/ZFP36L1/NRARP/SMAD7/ZMIZ1/RIPK2/ID2/RUNX1/EP300/SH3RF1/NEDD9/TM4SF19/CUL4A/PRXL2A/CD86/RUNX3/UBASH3B/HMGB3/HLA-G/CD83/IL1RL2/SHB/MALT1/EGR3/LGALS1/CCR1/PHF10/MYC/OPA1/ZBTB46/GAS6/TGFB1/BCL6/RPTOR/ADAM8/SPI1/IL4I1/PRDM1/CD69/HLA-DRB1/BRAF/ZC3H12A/ANXA1,54
GOBP_REGULATION_OF_HEMOPOIESIS,"Any process that modulates the frequency, rate or extent of hemopoiesis. [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:20080761]",64/926,374/12583,0.1711229946524064,2.325313867938693,7.333333435707837,1.3065412864444686e-10,6.126589849019188e-8,4.8227418713669515e-8,HIF1A/CSF1/MAFB/CEBPB/IL10/CTNNB1/PNP/NLRP3/FOXO3/PIK3R1/LGALS3/KLF10/TRIB1/ZFP36L1/NRARP/GLUL/SMAD7/ZMIZ1/JAG1/RIPK2/ID2/RUNX1/EP300/SH3RF1/NEDD9/TM4SF19/CUL4A/PRXL2A/CD86/BRPF3/RCOR1/RUNX3/UBASH3B/HMGB3/HLA-G/RARG/HOXA5/CD83/IL1RL2/SHB/MALT1/EGR3/LGALS1/CCR1/PHF10/MYC/OPA1/ZBTB46/GAS6/ZFP36/TGFB1/BCL6/RPTOR/ADAM8/SPI1/IL4I1/PRDM1/ACVR1B/CD69/KAT6A/HLA-DRB1/BRAF/ZC3H12A/ANXA1,64
GOCC_TRANSCRIPTION_REGULATOR_COMPLEX,"A protein complex that is capable of associating with DNA by direct binding, or via other DNA-binding proteins or complexes, and regulating transcription. [GOC:jl]",67/926,404/12583,0.16584158415841585,2.2535471419712167,7.217926808605463,1.9319491263828588e-10,8.362367487812574e-8,6.58270601118953e-8,PPARG/HIF1A/MAFB/CEBPB/S100A10/HMGA1/FOSL2/CTNNB1/TLE3/FOSL1/NFIL3/ATF3/FOXO3/AHR/NCOR2/ETV3/SMAD3/NR4A3/HIPK2/SMAD7/NR4A1/SKI/SUB1/SKIL/H1-0/ZNF350/GATAD2A/RUNX1/EP300/IVNS1ABP/ARNT2/ARID5A/EPAS1/PER2/KLF5/RCOR1/RUNX3/SNAPC1/MAFF/TLE4/RARG/ATF4/CEBPD/BIN1/NFAT5/MAFK/SSBP3/BACH1/GATAD2B/TFDP1/CREM/MYC/MXD1/RBPJ/E2F6/RUNX2/VDR/JUND/AKIRIN2/PRDM10/MAFG/ANXA2/ATF5/SPI1/SFPQ/JDP2/DDIT3,67
GOBP_TAXIS,"The directed movement of a motile cell or organism in response to an external stimulus. [GOC:jl, ISBN:0192801023]",59/926,336/12583,0.17559523809523808,2.386085184613802,7.258245221098811,2.493856232623806e-10,1.0023520729267256e-7,7.890336110436826e-8,CCL2/HBEGF/CSF1/MET/CXCL2/GPR183/DOCK4/SERPINE1/NINJ1/VEGFA/PLAUR/IL10/THBS1/FOSL1/CXCL3/FGFR1/EPHB1/LGMN/LGALS3/SEMA3F/C5AR1/CXCR4/CXCL16/SMAD3/CXCL8/IL1B/NR4A1/PDGFA/PDE4B/GPNMB/NRP2/PLEC/SEMA6B/CYRIB/TREM1/NEDD9/ITGAV/P2RX4/FLT1/RAC1/ENG/YTHDF1/MPP1/EGR3/CCR1/MAP2K1/VAV3/GAS6/IL6R/TGFB1/PLP2/CCL4L2/ADAM8/SPI1/SBDS/PLAU/FPR3/ANXA1/CCL3L3,59
GOBP_POSITIVE_REGULATION_OF_HEMOPOIESIS,"Any process that activates or increases the frequency, rate or extent of hemopoiesis. [GO_REF:0000058, GOC:pad, GOC:PARL, GOC:TermGenie, PMID:20080761]",38/926,171/12583,0.2222222222222222,3.019678425725942,7.494563327007958,5.001250001490196e-10,1.8761355838923553e-7,1.4768603513172454e-7,CSF1/IL10/PNP/NLRP3/FOXO3/LGALS3/KLF10/TRIB1/ZFP36L1/ZMIZ1/RIPK2/ID2/RUNX1/EP300/NEDD9/TM4SF19/CD86/RUNX3/HLA-G/CD83/IL1RL2/SHB/MALT1/EGR3/LGALS1/CCR1/PHF10/OPA1/ZBTB46/GAS6/TGFB1/BCL6/RPTOR/ADAM8/SPI1/IL4I1/HLA-DRB1/ANXA1,38
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION,"The process in which a precursor cell type acquires the specialized features of an alpha-beta T cell. An alpha-beta T cell is a T cell that expresses an alpha-beta T cell receptor complex. [CL:0000789, GOC:ai]",31/926,124/12583,0.25,3.3971382289416847,7.560478159840682,9.479869025655761e-10,3.3339514379603105e-7,2.6244268986815427e-7,CTSL/GPR183/FOSL2/PNP/NLRP3/PIK3R1/ICOSLG/SMAD7/RIPK2/RUNX1/EP300/SH3RF1/CD86/RUNX3/CD83/SHB/MALT1/LGALS1/OPA1/PRR7/TBK1/RPL22/IL6R/BCL6/PRDM1/SOCS3/CD69/HLA-DRB1/BRAF/ZC3H12A/ANXA1,31
GOBP_REGULATION_OF_CELL_CELL_ADHESION,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]",65/926,407/12583,0.1597051597051597,2.17016201357454,6.763598453032055,1.798051339581478e-9,5.951549934014692e-7,4.684953583256261e-7,RGCC/CCL2/MAP3K8/PLPP3/CEBPB/TNFRSF21/VEGFA/PLAUR/IL10/CTNNB1/PNP/NLRP3/FOXO3/SOCS6/SDC4/LGALS3/HAVCR2/MYO10/IL1RN/CD9/NRARP/CD44/NR4A3/LAPTM5/ICOSLG/SMAD7/ZMIZ1/IL1B/JAG1/RIPK2/RUNX1/GPNMB/EP300/CYRIB/PRNP/CD86/RUNX3/UBASH3B/HLA-G/ADGRG1/CD83/IL1RL2/SHB/NFAT5/MALT1/EGR3/LGALS1/PHF10/MAP2K1/SRC/OPA1/MAPK7/IL6R/TGFB1/ABL2/FLOT1/IRAK1/BCL6/ADAM8/SPI1/IL4I1/CD69/HLA-DRB1/ZC3H12A/ANXA1,65
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,"Genes defining epithelial-mesenchymal transition, as in wound healing, fibrosis and metastasis.",30/926,123/12583,0.24390243902439024,3.3142811989674974,7.269367036041861,3.3267751643566096e-9,1.0177743939824278e-6,8.011737861397691e-7,TNFRSF12A/SERPINE1/AREG/VEGFA/PLAUR/THBS1/FN1/SDC4/PMP22/GEM/TIMP1/VIM/EMP3/SAT1/CXCL8/CD44/ITGA5/TPM4/ID2/BASP1/ITGAV/DPYSL3/ANPEP/GADD45B/LOXL1/LGALS1/SLC6A8/ITGB1/TGFB1/PMEPA1,30
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION,"The process in which a relatively unspecialized T cell acquires specialized features of a mature CD4-positive, alpha-beta T cell. [CL:0000624, ISBN:0781735149]",26/926,96/12583,0.2708333333333333,3.6802330813534914,7.429610724785197,3.436593830756376e-9,1.0177743939824278e-6,8.011737861397691e-7,CTSL/GPR183/NLRP3/PIK3R1/ICOSLG/SMAD7/RIPK2/RUNX1/EP300/SH3RF1/CD86/RUNX3/CD83/SHB/MALT1/LGALS1/OPA1/TBK1/IL6R/BCL6/SOCS3/CD69/HLA-DRB1/BRAF/ZC3H12A/ANXA1,26
GOBP_MONONUCLEAR_CELL_DIFFERENTIATION,"The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell. [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]",71/926,471/12583,0.15074309978768577,2.048380588151674,6.535945602057666,4.023948130320647e-9,1.1315154428605145e-6,8.907087040036375e-7,PPARG/CTSL/CSF1/IRF2BP2/MAFB/CEBPB/GPR183/VEGFA/FOSL2/IL10/CTNNB1/PNP/NLRP3/NFIL3/FOXO3/PIK3R1/LGALS3/TRIB1/ZFP36L1/NRARP/LAPTM5/ICOSLG/SMAD7/ZMIZ1/IL1B/RIPK2/ID2/RUNX1/ITGB8/EP300/SH3RF1/CD86/FNIP1/RUNX3/HMGB3/HLA-G/CHD7/CD83/IL1RL2/SHB/MALT1/EGR3/LGALS1/PHF10/MYC/OPA1/NR3C1/PRR7/TBK1/TRAF3IP2/RPL22/RBPJ/ZBTB46/ITGB1/RUNX2/GAS6/IL6R/TGFB1/ADGRG3/BCL6/ADAM8/SPI1/IL4I1/PRDM1/SOCS3/CD69/ZBTB7A/HLA-DRB1/BRAF/ZC3H12A/ANXA1,71
GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION,"Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]",62/926,388/12583,0.15979381443298968,2.171366703034891,6.605485913233165,4.222822871880363e-9,1.1315154428605145e-6,8.907087040036375e-7,CCL2/MAP3K8/PLPP3/CSF1/S100A10/VEGFA/CD63/PLAUR/IL10/CTNNB1/FN1/PNP/NLRP3/FOXO3/SDC4/HAVCR2/MYO10/SMAD3/CD44/NR4A3/ADAM9/ICOSLG/SMAD7/ZMIZ1/ITGA5/IL1B/RIPK2/RUNX1/EP300/CYRIB/NEDD9/CD86/ITGAV/RREB1/RAC1/RUNX3/HLA-G/ADGRG1/CD83/IL1RL2/SHB/NFAT5/MALT1/EGR3/LGALS1/PHF10/SRC/OPA1/VAV3/IL6R/TGFB1/LIMS1/ABL2/FLOT1/IRAK1/MAP4K4/BCL6/ADAM8/IL4I1/HLA-DRB1/BRAF/ANXA1,62
GOBP_WOUND_HEALING,"The series of events that restore integrity to a damaged tissue, following an injury. [GOC:bf, PMID:15269788]",54/926,318/12583,0.16981132075471697,2.30749011777171,6.655874650541672,5.018134409186205e-9,1.2835019236586716e-6,1.0103497413328016e-6,PPARG/CD109/HBEGF/THBD/HIF1A/TNFRSF12A/SERPINE1/S100A10/VEGFA/CDKN1A/PLAUR/HMOX1/THBS1/FN1/SDC4/PPARD/TIMP1/TFPI/PLEK/CLEC7A/GNA13/GNA12/CD9/SMAD3/EREG/CD44/SLC7A11/ITGA5/RAP2B/PDGFA/VIL1/P2RY1/PLEC/ITGAV/RREB1/ELK3/UBASH3B/ENG/ADGRG1/CHMP4B/B4GALT1/CLIC1/SRC/VAV3/ITGB1/GAS6/IL6R/TGFB1/ARL8B/ANXA2/CD151/TUBB1/PLAU/ANXA1,54
GOBP_EPITHELIAL_CELL_PROLIFERATION,"The multiplication or reproduction of epithelial cells, resulting in the expansion of a cell population. Epithelial cells make up the epithelium, the covering of internal and external surfaces of the body, including the lining of vessels and other small cavities. It consists of cells joined by small amounts of cementing substances. [ISBN:0721662544]",51/926,295/12583,0.17288135593220338,2.3492074532342495,6.60900489921373,7.270051754357874e-9,1.7786339661639894e-6,1.4001088229902946e-6,RGCC/CCL2/PPARG/CD109/HIF1A/CEBPB/AREG/NKX3-1/VEGFA/CDKN1A/IL10/HMOX1/CTNNB1/THBS1/PPARD/ZEB2/FGFR1/MTSS1/C5AR1/SMAD3/ZFP36L1/EREG/NRARP/NR4A3/NR4A1/JAG1/ID2/NRP2/BID/RREB1/KDM5B/FLT1/RUNX3/ENG/HOXA5/EGR3/B4GALT1/MAP2K1/MYC/RBPJ/EXTL3/RUNX2/VDR/ZFP36/TGFB1/LIMS1/NEAT1/RPTOR/PRDM1/NUS1/ERN1,51
GOBP_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION,"Any process that modulates the frequency, rate or extent of epithelial cell proliferation. [GOC:ai]",44/926,239/12583,0.18410041841004185,2.5016582773796507,6.605855109745332,1.1469947454049878e-8,2.6400894262198083e-6,2.078231142243311e-6,RGCC/CCL2/PPARG/CD109/HIF1A/AREG/NKX3-1/VEGFA/IL10/HMOX1/CTNNB1/THBS1/PPARD/FGFR1/MTSS1/C5AR1/SMAD3/ZFP36L1/EREG/NRARP/NR4A3/NR4A1/JAG1/NRP2/BID/RREB1/KDM5B/FLT1/RUNX3/ENG/HOXA5/EGR3/B4GALT1/MYC/RBPJ/EXTL3/RUNX2/VDR/ZFP36/TGFB1/LIMS1/NEAT1/RPTOR/NUS1,44
GOBP_LYMPHOCYTE_DIFFERENTIATION,"The process in which a relatively unspecialized precursor cell acquires specialized features of a lymphocyte. A lymphocyte is a leukocyte commonly found in the blood and lymph that has the characteristics of a large nucleus, a neutral staining cytoplasm, and prominent heterochromatin. [CL:0000542, GOC:go_curators]",61/926,389/12583,0.15681233933161953,2.130852770852882,6.385497031567567,1.1729560272879901e-8,2.6400894262198083e-6,2.078231142243311e-6,CTSL/IRF2BP2/MAFB/GPR183/FOSL2/IL10/CTNNB1/PNP/NLRP3/NFIL3/FOXO3/PIK3R1/ZFP36L1/NRARP/LAPTM5/ICOSLG/SMAD7/ZMIZ1/IL1B/RIPK2/ID2/RUNX1/EP300/SH3RF1/CD86/FNIP1/RUNX3/HMGB3/HLA-G/CHD7/CD83/IL1RL2/SHB/MALT1/EGR3/LGALS1/PHF10/OPA1/PRR7/TBK1/TRAF3IP2/RPL22/RBPJ/ITGB1/RUNX2/GAS6/IL6R/TGFB1/ADGRG3/BCL6/ADAM8/SPI1/IL4I1/PRDM1/SOCS3/CD69/ZBTB7A/HLA-DRB1/BRAF/ZC3H12A/ANXA1,61
GOCC_CELL_SUBSTRATE_JUNCTION,"A cell junction that forms a connection between a cell and the extracellular matrix. [GOC:aruk, GOC:bc, GOC:hb, GOC:mah, PMID:10419689, PMID:1643657, PMID:16805308, PMID:26923917, PMID:8314002]",60/926,382/12583,0.15706806282722513,2.1343276831047233,6.345406286624528,1.4583490027086935e-8,3.0318105863791383e-6,2.3865870282348108e-6,BCAR3/FLNB/HMGA1/ARF6/PLAUR/CTNNB1/MARCKS/SDC4/VIM/GNA13/DIXDC1/GNA12/CD9/YWHAQ/CD44/ADAM9/CD99/RPS16/ITGA5/ALCAM/RPS9/TNS1/RHOU/TPM4/ITGB8/PLEC/EZR/NEDD9/ITGAV/RPL9/FLT1/RAC1/ARPC5L/RPS10/RPL7/ENG/KLF11/NECTIN2/MAP2K1/PDLIM7/SRC/RPL22/RPS7/PXN/ITGB1/RPL12/RPLP2/RPL10A/ARF1/MAPRE1/LIMS1/FLOT1/MAP4K4/PARVB/RPL23/CD151/RPL37A/PLAU/CHP1/ANXA1,60
GOBP_FAT_CELL_DIFFERENTIATION,"The process in which a relatively unspecialized cell acquires specialized features of an adipocyte, an animal connective tissue cell specialized for the synthesis and storage of fat. [CL:0000136, GOC:go_curators]",37/926,184/12583,0.20108695652173914,2.732480749366138,6.672228864397204,1.5206530879421294e-8,3.0318105863791383e-6,2.3865870282348108e-6,PPARG/MAFB/CEBPB/PID1/VEGFA/FOSL2/PPARD/NOCT/INSIG1/SMAD3/ZFP36L1/NR4A3/NR4A1/JAG1/ARL4A/ID2/LAMB3/EP300/ZNF385A/RETN/PER2/KLF5/RREB1/SYAP1/CEBPD/MEX3C/ADRB1/EGR2/METRNL/ZFP36/TGFB1/ATF5/TRIO/JDP2/ZBTB7A/DDIT3/ZC3H12A,37
HALLMARK_P53_PATHWAY,Genes involved in p53 pathways and networks.,37/926,184/12583,0.20108695652173914,2.732480749366138,6.672228864397204,1.5206530879421294e-8,3.0318105863791383e-6,2.3865870282348108e-6,HBEGF/UPP1/S100A10/NINJ1/CDKN1A/HMOX1/ATF3/FOXO3/DDIT4/SAT1/ZFP36L1/H2AC25/RRAD/SPHK1/DNTTIP2/SLC7A11/RAP2B/PDGFA/PLK3/IER3/RALGDS/BTG1/CD82/CTSD/TSPYL2/IFI30/FGF13/MXD1/PTPRE/VDR/TOB1/TGFB1/IRAK1/ACVR1B/DDIT3/DRAM1/KIF13B,37
GOBP_CELL_CHEMOTAXIS,The directed movement of a motile cell guided by a specific chemical concentration gradient. Movement may be towards a higher concentration (positive chemotaxis) or towards a lower concentration (negative chemotaxis). [GOC:dph],43/926,233/12583,0.18454935622317598,2.5077586926093125,6.547315336266768,1.5625112316508798e-8,3.0318105863791383e-6,2.3865870282348108e-6,CCL2/HBEGF/CSF1/MET/CXCL2/GPR183/DOCK4/SERPINE1/NINJ1/VEGFA/IL10/THBS1/CXCL3/FGFR1/EPHB1/LGMN/LGALS3/C5AR1/CXCR4/CXCL16/CXCL8/IL1B/NR4A1/PDE4B/PLEC/TREM1/NEDD9/P2RX4/FLT1/RAC1/ENG/MPP1/EGR3/CCR1/VAV3/GAS6/IL6R/CCL4L2/ADAM8/SPI1/SBDS/ANXA1/CCL3L3,43
HALLMARK_APOPTOSIS,Genes mediating programmed cell death (apoptosis) by activation of caspases.,32/926,149/12583,0.21476510067114093,2.9183469349297693,6.638986579603221,2.795521979370337e-8,5.243467392638962e-6,4.127563680417677e-6,LMNA/EMP1/TNFRSF12A/ANKH/CDKN1A/HMOX1/CTNNB1/GNA15/ATF3/TIMP1/LGALS3/SAT1/EREG/CD44/SMAD7/IL1B/IER3/H1-0/ETF1/MCL1/NEDD9/BID/GADD45B/TIMP2/EGR3/BTG3/IFITM3/GPX4/CD69/DDIT3/CLU/ANXA1,32
