p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0.002174438542614538,0.18578510987887809,0.931,0.879,1,9,RPL10A
0.002174871938516805,0.29631655674919344,0.916,0.893,1,9,ZFP36
0.002204438599443982,2.740264099296544,0.011,0.002,1,9,SLC35F2
0.002223553156958265,2.526298260130157,0.011,0.002,1,9,ENSG00000247345
0.0022400578239115637,2.41179992850231,0.011,0.002,1,9,DUSP14
0.0022547494408291066,1.357265964980047,0.05,0.022,1,9,AKAP13-AS1
0.002279117108500145,0.7689918839571234,0.199,0.138,1,9,STK40
0.0022824892035196265,0.701612098031345,0.176,0.119,1,9,HIVEP3
0.0023000780074676447,0.5541084059329633,0.276,0.205,1,9,USP8
0.0023075099901787672,0.3746308528670115,0.464,0.383,1,9,ASAP1
0.0023127477526994947,0.29552066382999276,0.663,0.584,1,9,ARF1
0.002324983150318833,1.6478201059764022,0.042,0.017,1,9,MISP3
0.0023297262602892566,0.5613142045672405,0.276,0.206,1,9,IL6R
0.0023464010052002106,0.13209106873522725,0.977,0.94,1,9,JUND
0.0023597829790711873,1.6063360002020186,0.015,0.004,1,9,GLIS3
0.0023628387543195985,0.6594442819466471,0.234,0.171,1,9,TOB1
0.0024075976431160756,0.3114952939960114,0.736,0.679,1,9,TGFB1
0.002426187594981629,0.49174124813081893,0.299,0.225,1,9,PTPN1
0.002491617709897496,0.37804427378640315,0.46,0.383,1,9,STK10
0.002493444471534564,0.6221766557401249,0.215,0.15,1,9,WDR37
0.002523586739280414,0.8922139758873748,0.111,0.065,1,9,KDM3A
0.0025380699297569884,0.5835337380477212,0.238,0.17,1,9,LCOR
0.002545372351345382,0.7155036509420358,0.149,0.095,1,9,PITPNB
0.002556242253907769,0.778714456815726,0.103,0.059,1,9,CCAR2
0.002561868985721667,1.338108786231127,0.05,0.022,1,9,ENSG00000291181
0.0026007070152150825,0.46624592736244763,0.268,0.195,1,9,MAPRE1
0.002610198377815096,0.6200533418734104,0.245,0.182,1,9,RAB5A
